date,r10y,r3m
2010-04-01,3.85,0.16
2010-05-01,3.42,0.16
2010-06-01,3.2,0.12
2010-07-01,3.01,0.16
2010-08-01,2.7,0.16
2010-09-01,2.65,0.15
2010-10-01,2.54,0.13
2010-11-01,2.76,0.14
2010-12-01,3.29,0.14
2011-01-01,3.39,0.15
2011-02-01,3.58,0.13
2011-03-01,3.41,0.1
2011-04-01,3.46,0.06
2011-05-01,3.17,0.04
2011-06-01,3,0.04
2011-07-01,3,0.04
2011-08-01,2.3,0.02
2011-09-01,1.98,0.01
2011-10-01,2.15,0.02
2011-11-01,2.01,0.01
2011-12-01,1.98,0.01
2012-01-01,1.97,0.03
2012-02-01,1.97,0.09
2012-03-01,2.17,0.08
2012-04-01,2.05,0.08
2012-05-01,1.8,0.09
2012-06-01,1.62,0.09
2012-07-01,1.53,0.1
2012-08-01,1.68,0.1
2012-09-01,1.72,0.11
2012-10-01,1.75,0.1
2012-11-01,1.65,0.09
2012-12-01,1.72,0.07
2013-01-01,1.91,0.07
2013-02-01,1.98,0.1
2013-03-01,1.96,0.09
2013-04-01,1.76,0.06
2013-05-01,1.93,0.04
2013-06-01,2.3,0.05
2013-07-01,2.58,0.04
2013-08-01,2.74,0.04
2013-09-01,2.81,0.02
2013-10-01,2.62,0.05
2013-11-01,2.72,0.07
2013-12-01,2.9,0.07
2014-01-01,2.86,0.04
2014-02-01,2.71,0.05
2014-03-01,2.72,0.05
2014-04-01,2.71,0.03
2014-05-01,2.56,0.03
2014-06-01,2.6,0.04
2014-07-01,2.54,0.03
2014-08-01,2.42,0.03
2014-09-01,2.53,0.02
2014-10-01,2.3,0.02
2014-11-01,2.33,0.02
2014-12-01,2.21,0.03
2015-01-01,1.88,0.03
2015-02-01,1.98,0.02
2015-03-01,2.04,0.03
2015-04-01,1.94,0.02
2015-05-01,2.2,0.02
2015-06-01,2.36,0.02
2015-07-01,2.32,0.03
2015-08-01,2.17,0.07
2015-09-01,2.17,0.02
2015-10-01,2.07,0.02
2015-11-01,2.26,0.13
2015-12-01,2.24,0.23
2016-01-01,2.09,0.26
2016-02-01,1.78,0.31
2016-03-01,1.89,0.3
2016-04-01,1.81,0.23
2016-05-01,1.81,0.28
2016-06-01,1.64,0.27
2016-07-01,1.5,0.3
2016-08-01,1.56,0.3
2016-09-01,1.63,0.29
2016-10-01,1.76,0.33
2016-11-01,2.14,0.45
2016-12-01,2.49,0.51
2017-01-01,2.43,0.52
2017-02-01,2.42,0.53
2017-03-01,2.48,0.75
2017-04-01,2.3,0.81
2017-05-01,2.3,0.9
2017-06-01,2.19,1
2017-07-01,2.32,1.09
2017-08-01,2.21,1.03
2017-09-01,2.2,1.05
2017-10-01,2.36,1.09
2017-11-01,2.35,1.25
2017-12-01,2.4,1.34
2018-01-01,2.58,1.43
2018-02-01,2.86,1.59
2018-03-01,2.84,1.73
2018-04-01,2.87,1.79
2018-05-01,2.98,1.9
2018-06-01,2.91,1.94
2018-07-01,2.89,1.99
2018-08-01,2.89,2.07
2018-09-01,3,2.17
2018-10-01,3.15,2.29
2018-11-01,3.12,2.37
2018-12-01,2.83,2.41
2019-01-01,2.71,2.42
2019-02-01,2.68,2.44
2019-03-01,2.57,2.45
